ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050900	BP	GO:0050900	leukocyte migration	38/337	445/20973	4.1421279747702e-17	1.61667254855281e-13	1.26400305251145e-13	ENSG00000010278/ENSG00000090339/ENSG00000100600/ENSG00000101336/ENSG00000108691/ENSG00000121807/ENSG00000121966/ENSG00000131981/ENSG00000135424/ENSG00000139626/ENSG00000141655/ENSG00000142185/ENSG00000142405/ENSG00000143669/ENSG00000144668/ENSG00000146070/ENSG00000151491/ENSG00000151651/ENSG00000157227/ENSG00000158714/ENSG00000158869/ENSG00000160255/ENSG00000160593/ENSG00000160712/ENSG00000160791/ENSG00000163220/ENSG00000163823/ENSG00000169224/ENSG00000169403/ENSG00000169508/ENSG00000174059/ENSG00000174600/ENSG00000176105/ENSG00000177663/ENSG00000178209/ENSG00000182578/ENSG00000187210/ENSG00000188822	38
GO:0032496	BP	GO:0032496	response to lipopolysaccharide	30/337	399/20973	2.68026270867694e-12	4.38499854212562e-09	3.42843177950084e-09	ENSG00000028137/ENSG00000101336/ENSG00000102575/ENSG00000105329/ENSG00000108691/ENSG00000110324/ENSG00000112033/ENSG00000112038/ENSG00000112799/ENSG00000114013/ENSG00000129226/ENSG00000131042/ENSG00000134061/ENSG00000137462/ENSG00000140968/ENSG00000141655/ENSG00000150593/ENSG00000154229/ENSG00000154589/ENSG00000160791/ENSG00000163220/ENSG00000165029/ENSG00000169403/ENSG00000170345/ENSG00000170458/ENSG00000172175/ENSG00000172216/ENSG00000178726/ENSG00000188822/ENSG00000260314	30
GO:0030595	BP	GO:0030595	leukocyte chemotaxis	25/337	276/20973	3.37048312231024e-12	4.38499854212562e-09	3.42843177950084e-09	ENSG00000100600/ENSG00000108691/ENSG00000121807/ENSG00000121966/ENSG00000131981/ENSG00000141655/ENSG00000142185/ENSG00000143669/ENSG00000144668/ENSG00000146070/ENSG00000151651/ENSG00000158714/ENSG00000158869/ENSG00000160255/ENSG00000160593/ENSG00000160712/ENSG00000160791/ENSG00000163220/ENSG00000163823/ENSG00000169508/ENSG00000174600/ENSG00000177663/ENSG00000178209/ENSG00000182578/ENSG00000188822	25
GO:0042554	BP	GO:0042554	superoxide anion generation	11/337	47/20973	1.62891148196097e-10	9.08234502013382e-08	7.10107426496971e-08	ENSG00000011600/ENSG00000102575/ENSG00000105329/ENSG00000107957/ENSG00000116701/ENSG00000122986/ENSG00000160255/ENSG00000165168/ENSG00000169896/ENSG00000172243/ENSG00000174705	11
GO:0071216	BP	GO:0071216	cellular response to biotic stimulus	23/337	306/20973	1.04075964094305e-09	4.06208487860072e-07	3.17596020957253e-07	ENSG00000028137/ENSG00000101336/ENSG00000105329/ENSG00000108691/ENSG00000112033/ENSG00000112799/ENSG00000114013/ENSG00000129226/ENSG00000131042/ENSG00000134061/ENSG00000137462/ENSG00000140968/ENSG00000150593/ENSG00000154229/ENSG00000154589/ENSG00000160791/ENSG00000165029/ENSG00000169403/ENSG00000170458/ENSG00000172175/ENSG00000172216/ENSG00000172243/ENSG00000260314	23
GO:0002573	BP	GO:0002573	myeloid leukocyte differentiation	21/337	259/20973	1.45061607630983e-09	5.1470495871248e-07	4.02424498107388e-07	ENSG00000010610/ENSG00000011600/ENSG00000105329/ENSG00000107957/ENSG00000115738/ENSG00000137462/ENSG00000141655/ENSG00000154229/ENSG00000163823/ENSG00000169508/ENSG00000170345/ENSG00000170909/ENSG00000171223/ENSG00000172216/ENSG00000177606/ENSG00000182578/ENSG00000182718/ENSG00000185650/ENSG00000186818/ENSG00000204103/ENSG00000204577	21
GO:0002263	BP	GO:0002263	cell activation involved in immune response	23/337	330/20973	4.44139361659716e-09	1.44456327379823e-06	1.12943860478203e-06	ENSG00000011600/ENSG00000030582/ENSG00000090339/ENSG00000105329/ENSG00000105374/ENSG00000110395/ENSG00000113916/ENSG00000114013/ENSG00000121807/ENSG00000123384/ENSG00000131981/ENSG00000134061/ENSG00000140968/ENSG00000158869/ENSG00000160255/ENSG00000160712/ENSG00000161955/ENSG00000169403/ENSG00000169508/ENSG00000169896/ENSG00000172175/ENSG00000172243/ENSG00000271605	23
GO:0044409	BP	GO:0044409	entry into host	18/337	204/20973	5.86080292673858e-09	1.63390813021862e-06	1.27747877327934e-06	ENSG00000010610/ENSG00000090339/ENSG00000099250/ENSG00000110395/ENSG00000112343/ENSG00000114013/ENSG00000121966/ENSG00000135047/ENSG00000139626/ENSG00000141458/ENSG00000148180/ENSG00000160791/ENSG00000164733/ENSG00000166825/ENSG00000179583/ENSG00000186815/ENSG00000258227/ENSG00000260314	18
GO:0006909	BP	GO:0006909	phagocytosis	22/337	333/20973	2.54744954848822e-08	5.05715487631798e-06	3.95396037769754e-06	ENSG00000011600/ENSG00000101336/ENSG00000108691/ENSG00000116701/ENSG00000121807/ENSG00000123384/ENSG00000137462/ENSG00000140968/ENSG00000143669/ENSG00000148180/ENSG00000149177/ENSG00000158869/ENSG00000160255/ENSG00000165029/ENSG00000168461/ENSG00000169896/ENSG00000170458/ENSG00000171631/ENSG00000172243/ENSG00000176105/ENSG00000186074/ENSG00000276600	22
GO:1902107	BP	GO:1902107	positive regulation of leukocyte differentiation	17/337	200/20973	2.72099032545933e-08	5.05715487631798e-06	3.95396037769754e-06	ENSG00000010610/ENSG00000011600/ENSG00000020633/ENSG00000105329/ENSG00000113916/ENSG00000114013/ENSG00000115738/ENSG00000131042/ENSG00000151651/ENSG00000154229/ENSG00000157227/ENSG00000163823/ENSG00000170345/ENSG00000172175/ENSG00000185650/ENSG00000186818/ENSG00000276231	17
GO:1903708	BP	GO:1903708	positive regulation of hemopoiesis	17/337	200/20973	2.72099032545933e-08	5.05715487631798e-06	3.95396037769754e-06	ENSG00000010610/ENSG00000011600/ENSG00000020633/ENSG00000105329/ENSG00000113916/ENSG00000114013/ENSG00000115738/ENSG00000131042/ENSG00000151651/ENSG00000154229/ENSG00000157227/ENSG00000163823/ENSG00000170345/ENSG00000172175/ENSG00000185650/ENSG00000186818/ENSG00000276231	17
GO:0032928	BP	GO:0032928	regulation of superoxide anion generation	7/337	25/20973	9.7412510001364e-08	1.35786080905473e-05	1.06164987403742e-05	ENSG00000011600/ENSG00000102575/ENSG00000105329/ENSG00000122986/ENSG00000160255/ENSG00000169896/ENSG00000172243	7
GO:0042060	BP	GO:0042060	wound healing	26/337	489/20973	1.10712470693719e-07	1.49003714868133e-05	1.16499256820723e-05	ENSG00000010278/ENSG00000011422/ENSG00000074966/ENSG00000102780/ENSG00000105329/ENSG00000112033/ENSG00000112038/ENSG00000121966/ENSG00000122861/ENSG00000124762/ENSG00000124882/ENSG00000132205/ENSG00000138119/ENSG00000138185/ENSG00000138639/ENSG00000151012/ENSG00000154229/ENSG00000157168/ENSG00000158869/ENSG00000160593/ENSG00000172243/ENSG00000174059/ENSG00000178209/ENSG00000178726/ENSG00000197249/ENSG00000198682	26
GO:0050866	BP	GO:0050866	negative regulation of cell activation	19/337	278/20973	1.3697873866237e-07	1.78209338999743e-05	1.39333811713056e-05	ENSG00000010278/ENSG00000011600/ENSG00000020633/ENSG00000030582/ENSG00000076641/ENSG00000113916/ENSG00000114013/ENSG00000115738/ENSG00000121807/ENSG00000131042/ENSG00000131981/ENSG00000136235/ENSG00000155659/ENSG00000172216/ENSG00000178726/ENSG00000186074/ENSG00000186818/ENSG00000188822/ENSG00000271605	19
GO:0050730	BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	19/337	288/20973	2.37072336811264e-07	2.80391918355868e-05	2.1922574303536e-05	ENSG00000010610/ENSG00000013364/ENSG00000099250/ENSG00000105329/ENSG00000110395/ENSG00000122025/ENSG00000124882/ENSG00000131370/ENSG00000136960/ENSG00000145431/ENSG00000149177/ENSG00000157168/ENSG00000159733/ENSG00000160255/ENSG00000160712/ENSG00000172243/ENSG00000176105/ENSG00000182578/ENSG00000186818	19
GO:0051056	BP	GO:0051056	regulation of small GTPase mediated signal transduction	20/337	338/20973	6.46091059844876e-07	7.00470390715154e-05	5.47666076751549e-05	ENSG00000031081/ENSG00000099250/ENSG00000100055/ENSG00000110395/ENSG00000111344/ENSG00000113916/ENSG00000116991/ENSG00000133121/ENSG00000138639/ENSG00000145819/ENSG00000146192/ENSG00000146376/ENSG00000151491/ENSG00000156011/ENSG00000156299/ENSG00000157168/ENSG00000159842/ENSG00000161011/ENSG00000165029/ENSG00000275342	20
GO:0033627	BP	GO:0033627	cell adhesion mediated by integrin	10/337	88/20973	1.49402544168762e-06	0.000138837649973971	0.00010855087106397	ENSG00000090339/ENSG00000110031/ENSG00000122861/ENSG00000135424/ENSG00000138061/ENSG00000139626/ENSG00000140678/ENSG00000144668/ENSG00000160255/ENSG00000169896	10
GO:0050729	BP	GO:0050729	positive regulation of inflammatory response	14/337	182/20973	1.5482114394334e-06	0.000140527191816478	0.00010987184731744	ENSG00000030582/ENSG00000105374/ENSG00000121807/ENSG00000132965/ENSG00000137462/ENSG00000141655/ENSG00000142405/ENSG00000146070/ENSG00000150593/ENSG00000151651/ENSG00000163220/ENSG00000172216/ENSG00000177663/ENSG00000188906	14
GO:1903557	BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	12/337	135/20973	1.92439144688333e-06	0.000166908884826348	0.000130498498351223	ENSG00000011600/ENSG00000114013/ENSG00000121807/ENSG00000137462/ENSG00000149177/ENSG00000151651/ENSG00000154589/ENSG00000165168/ENSG00000169403/ENSG00000170458/ENSG00000172243/ENSG00000188906	12
