ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007204	BP	GO:0007204	positive regulation of cytosolic calcium ion concentration	16/206	338/20973	2.52942196126001e-07	0.000754779513239986	0.000659779749473926	ENSG00000050628/ENSG00000101200/ENSG00000104369/ENSG00000121966/ENSG00000134489/ENSG00000140030/ENSG00000141433/ENSG00000157388/ENSG00000171132/ENSG00000171316/ENSG00000171867/ENSG00000179348/ENSG00000186815/ENSG00000196352/ENSG00000198838/ENSG00000203618	16
GO:0001659	BP	GO:0001659	temperature homeostasis	11/206	199/20973	4.60945500377124e-06	0.00434992916324655	0.00380242855458055	ENSG00000050628/ENSG00000115604/ENSG00000115896/ENSG00000116016/ENSG00000121966/ENSG00000136869/ENSG00000141433/ENSG00000145287/ENSG00000151726/ENSG00000161011/ENSG00000172216	11
GO:1990845	BP	GO:1990845	adaptive thermogenesis	10/206	173/20973	8.50368804177022e-06	0.00434992916324655	0.00380242855458055	ENSG00000115604/ENSG00000115896/ENSG00000116016/ENSG00000121966/ENSG00000136869/ENSG00000137642/ENSG00000141433/ENSG00000145287/ENSG00000151726/ENSG00000172216	10
GO:0055074	BP	GO:0055074	calcium ion homeostasis	17/206	496/20973	8.74650636041532e-06	0.00434992916324655	0.00380242855458055	ENSG00000050628/ENSG00000101200/ENSG00000104369/ENSG00000121966/ENSG00000134489/ENSG00000140030/ENSG00000141433/ENSG00000157388/ENSG00000162946/ENSG00000171132/ENSG00000171316/ENSG00000171867/ENSG00000179348/ENSG00000186815/ENSG00000196352/ENSG00000198838/ENSG00000203618	17
GO:0051235	BP	GO:0051235	maintenance of location	14/206	351/20973	1.04592395990901e-05	0.00445862442338355	0.00389744296639779	ENSG00000049323/ENSG00000104369/ENSG00000112033/ENSG00000131018/ENSG00000137642/ENSG00000144909/ENSG00000147872/ENSG00000165646/ENSG00000171132/ENSG00000171316/ENSG00000186815/ENSG00000196743/ENSG00000198838/ENSG00000203618	14
GO:0050729	BP	GO:0050729	positive regulation of inflammatory response	10/206	182/20973	1.32585107316415e-05	0.00494542450290226	0.00432297231486941	ENSG00000050628/ENSG00000099985/ENSG00000115602/ENSG00000132965/ENSG00000134954/ENSG00000136869/ENSG00000150593/ENSG00000151651/ENSG00000172216/ENSG00000177663	10
GO:0002274	BP	GO:0002274	myeloid leukocyte activation	12/206	280/20973	2.24352593638291e-05	0.00743853488240735	0.00650228920509574	ENSG00000105855/ENSG00000115602/ENSG00000136869/ENSG00000154269/ENSG00000158869/ENSG00000160255/ENSG00000166527/ENSG00000168421/ENSG00000169896/ENSG00000171132/ENSG00000179348/ENSG00000184371	12
GO:1903037	BP	GO:1903037	regulation of leukocyte cell-cell adhesion	16/206	498/20973	3.54408955503349e-05	0.00853438891266653	0.00746021438041049	ENSG00000012779/ENSG00000076641/ENSG00000107738/ENSG00000107968/ENSG00000110080/ENSG00000134954/ENSG00000151651/ENSG00000160255/ENSG00000168421/ENSG00000171867/ENSG00000172216/ENSG00000185338/ENSG00000196352/ENSG00000197635/ENSG00000203710/ENSG00000276231	16
GO:1903131	BP	GO:1903131	mononuclear cell differentiation	16/206	500/20973	3.71806487482121e-05	0.00853438891266653	0.00746021438041049	ENSG00000048052/ENSG00000105855/ENSG00000107738/ENSG00000115604/ENSG00000151651/ENSG00000158869/ENSG00000166527/ENSG00000168421/ENSG00000171316/ENSG00000172216/ENSG00000182885/ENSG00000184371/ENSG00000185338/ENSG00000198400/ENSG00000203710/ENSG00000276231	16
GO:0097530	BP	GO:0097530	granulocyte migration	9/206	170/20973	4.81835451557749e-05	0.00958531324965548	0.00837886490498317	ENSG00000121053/ENSG00000151651/ENSG00000158869/ENSG00000160255/ENSG00000168421/ENSG00000177663/ENSG00000183049/ENSG00000184371/ENSG00000197635	9
