ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050851	BP	GO:0050851	antigen receptor-mediated signaling pathway	2/3	288/20973	0.000558635592781413	0.0151544000711149	0.00210686793441518	ENSG00000133246/ENSG00000211899	2
GO:0002429	BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	2/3	377/20973	0.000955304040113409	0.0151544000711149	0.00210686793441518	ENSG00000133246/ENSG00000211899	2
GO:0002757	BP	GO:0002757	immune response-activating signal transduction	2/3	377/20973	0.000955304040113409	0.0151544000711149	0.00210686793441518	ENSG00000133246/ENSG00000211899	2
GO:0002768	BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	2/3	456/20973	0.0013947083629227	0.0151544000711149	0.00210686793441518	ENSG00000133246/ENSG00000211899	2
GO:0002253	BP	GO:0002253	activation of immune response	2/3	486/20973	0.0015829409673383	0.0151544000711149	0.00210686793441518	ENSG00000133246/ENSG00000211899	2
GO:0043312	BP	GO:0043312	neutrophil degranulation	1/3	12/20973	0.00171559246088093	0.0151544000711149	0.00210686793441518	ENSG00000133246	1
GO:0002283	BP	GO:0002283	neutrophil activation involved in immune response	1/3	22/20973	0.00314375305830727	0.0208273640112857	0.00289556202738828	ENSG00000133246	1
GO:1902563	BP	GO:1902563	regulation of neutrophil activation	1/3	22/20973	0.00314375305830727	0.0208273640112857	0.00289556202738828	ENSG00000133246	1
GO:0002446	BP	GO:0002446	neutrophil mediated immunity	1/3	37/20973	0.00528343900417227	0.0311135852467923	0.00432562257651531	ENSG00000133246	1
GO:0042119	BP	GO:0042119	neutrophil activation	1/3	52/20973	0.00742006096113734	0.0351213398607206	0.00488280792502571	ENSG00000133246	1
GO:0043300	BP	GO:0043300	regulation of leukocyte degranulation	1/3	56/20973	0.00798930962278588	0.0351213398607206	0.00488280792502571	ENSG00000133246	1
GO:0036230	BP	GO:0036230	granulocyte activation	1/3	60/20973	0.00855834059852389	0.0351213398607206	0.00488280792502571	ENSG00000133246	1
GO:0002886	BP	GO:0002886	regulation of myeloid leukocyte mediated immunity	1/3	67/20973	0.00955362112456137	0.0351213398607206	0.00488280792502571	ENSG00000133246	1
GO:0019731	BP	GO:0019731	antibacterial humoral response	1/3	81/20973	0.0115421834622708	0.0351213398607206	0.00488280792502571	ENSG00000211899	1
GO:0043299	BP	GO:0043299	leukocyte degranulation	1/3	86/20973	0.0122517387218688	0.0351213398607206	0.00488280792502571	ENSG00000133246	1
GO:0006910	BP	GO:0006910	phagocytosis, recognition	1/3	96/20973	0.0136698303832435	0.0351213398607206	0.00488280792502571	ENSG00000211899	1
GO:0050829	BP	GO:0050829	defense response to Gram-negative bacterium	1/3	115/20973	0.0163604639664606	0.0351213398607206	0.00488280792502571	ENSG00000211899	1
GO:0007229	BP	GO:0007229	integrin-mediated signaling pathway	1/3	119/20973	0.0169262889106672	0.0351213398607206	0.00488280792502571	ENSG00000133246	1
GO:0006911	BP	GO:0006911	phagocytosis, engulfment	1/3	123/20973	0.0174918968246438	0.0351213398607206	0.00488280792502571	ENSG00000211899	1
GO:0099024	BP	GO:0099024	plasma membrane invagination	1/3	132/20973	0.0187637213299469	0.0351213398607206	0.00488280792502571	ENSG00000211899	1
GO:0002455	BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin	1/3	139/20973	0.0197521590108629	0.0351213398607206	0.00488280792502571	ENSG00000211899	1
GO:0010324	BP	GO:0010324	membrane invagination	1/3	141/20973	0.0200344478046635	0.0351213398607206	0.00488280792502571	ENSG00000211899	1
GO:0050871	BP	GO:0050871	positive regulation of B cell activation	1/3	144/20973	0.0204577793713988	0.0351213398607206	0.00488280792502571	ENSG00000211899	1
GO:0019730	BP	GO:0019730	antimicrobial humoral response	1/3	152/20973	0.021586067479454	0.0351213398607206	0.00488280792502571	ENSG00000211899	1
GO:0042552	BP	GO:0042552	myelination	1/3	152/20973	0.021586067479454	0.0351213398607206	0.00488280792502571	ENSG00000133812	1
GO:1903305	BP	GO:1903305	regulation of regulated secretory pathway	1/3	152/20973	0.021586067479454	0.0351213398607206	0.00488280792502571	ENSG00000133246	1
GO:0007272	BP	GO:0007272	ensheathment of neurons	1/3	154/20973	0.0218680040642223	0.0351213398607206	0.00488280792502571	ENSG00000133812	1
GO:0008366	BP	GO:0008366	axon ensheathment	1/3	154/20973	0.0218680040642223	0.0351213398607206	0.00488280792502571	ENSG00000133812	1
GO:0008037	BP	GO:0008037	cell recognition	1/3	243/20973	0.0343594216744193	0.0492175499660601	0.00684255908167667	ENSG00000211899	1
GO:0005543	MF	GO:0005543	phospholipid binding	2/3	485/20738	0.00161212489069361	0.015610688404144	NA	ENSG00000133812/ENSG00000211899	2
GO:0042834	MF	GO:0042834	peptidoglycan binding	1/3	18/20738	0.00260178140069067	0.015610688404144	NA	ENSG00000211899	1
GO:0031210	MF	GO:0031210	phosphatidylcholine binding	1/3	31/20738	0.00447803648364342	0.0168944538727164	NA	ENSG00000211899	1
GO:0050997	MF	GO:0050997	quaternary ammonium group binding	1/3	39/20738	0.00563148462423879	0.0168944538727164	NA	ENSG00000211899	1
GO:0034987	MF	GO:0034987	immunoglobulin receptor binding	1/3	78/20738	0.0112417870484401	0.0269802889162563	NA	ENSG00000211899	1
GO:0003697	MF	GO:0003697	single-stranded DNA binding	1/3	128/20738	0.0184035598862264	0.0320388157304046	NA	ENSG00000211899	1
GO:0019208	MF	GO:0019208	phosphatase regulator activity	1/3	130/20738	0.0186893091760694	0.0320388157304046	NA	ENSG00000133812	1
GO:0019902	MF	GO:0019902	phosphatase binding	1/3	234/20738	0.0334719729918566	0.0427758394777373	NA	ENSG00000133812	1
GO:0005085	MF	GO:0005085	guanyl-nucleotide exchange factor activity	1/3	244/20738	0.0348855076410499	0.0427758394777373	NA	ENSG00000133812	1
GO:0003823	MF	GO:0003823	antigen binding	1/3	300/20738	0.0427758394777373	0.0427758394777373	NA	ENSG00000211899	1
