ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006909	BP	GO:0006909	phagocytosis	11/110	333/20973	1.4427690973536e-06	0.00281195697074217	0.00263039587012257	ENSG00000069974/ENSG00000101336/ENSG00000105352/ENSG00000135636/ENSG00000137462/ENSG00000143669/ENSG00000149177/ENSG00000159674/ENSG00000179348/ENSG00000183049/ENSG00000276600	11
GO:0050764	BP	GO:0050764	regulation of phagocytosis	7/110	123/20973	3.87896785922031e-06	0.0037800541788102	0.00353598543798399	ENSG00000069974/ENSG00000101336/ENSG00000135636/ENSG00000137462/ENSG00000149177/ENSG00000179348/ENSG00000183049	7
GO:0001991	BP	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	3/110	16/20973	7.47984282880847e-05	0.0485940455778257	0.0454564483491097	ENSG00000099139/ENSG00000100448/ENSG00000198829	3
GO:0030667	CC	GO:0030667	secretory granule membrane	15/114	379/21993	1.18139134132983e-09	2.10287658756709e-07	1.84048335280857e-07	ENSG00000004468/ENSG00000014257/ENSG00000069974/ENSG00000137462/ENSG00000140284/ENSG00000142185/ENSG00000142583/ENSG00000149177/ENSG00000149516/ENSG00000166825/ENSG00000172322/ENSG00000179869/ENSG00000242550/ENSG00000257335/ENSG00000258227	15
GO:0005766	CC	GO:0005766	primary lysosome	6/114	172/21993	0.000278387692687557	0.00991060185967701	0.00867397442479124	ENSG00000014257/ENSG00000100448/ENSG00000145287/ENSG00000163563/ENSG00000169397/ENSG00000179869	6
GO:0042582	CC	GO:0042582	azurophil granule	6/114	172/21993	0.000278387692687557	0.00991060185967701	0.00867397442479124	ENSG00000014257/ENSG00000100448/ENSG00000145287/ENSG00000163563/ENSG00000169397/ENSG00000179869	6
GO:0060205	CC	GO:0060205	cytoplasmic vesicle lumen	8/114	378/21993	0.000799337761489765	0.0178672019078921	0.0156377639406744	ENSG00000069974/ENSG00000100448/ENSG00000116260/ENSG00000124107/ENSG00000145287/ENSG00000163563/ENSG00000169397/ENSG00000197766	8
GO:0031983	CC	GO:0031983	vesicle lumen	8/114	380/21993	0.00082705952210625	0.0178672019078921	0.0156377639406744	ENSG00000069974/ENSG00000100448/ENSG00000116260/ENSG00000124107/ENSG00000145287/ENSG00000163563/ENSG00000169397/ENSG00000197766	8
GO:0016324	CC	GO:0016324	apical plasma membrane	8/114	396/21993	0.0010778348123597	0.0191854596600026	0.0167915318136037	ENSG00000007062/ENSG00000067113/ENSG00000069974/ENSG00000104880/ENSG00000115457/ENSG00000142583/ENSG00000197208/ENSG00000257335	8
GO:0045177	CC	GO:0045177	apical part of cell	8/114	463/21993	0.00286037475488019	0.0391651312591287	0.0342781752001836	ENSG00000007062/ENSG00000067113/ENSG00000069974/ENSG00000104880/ENSG00000115457/ENSG00000142583/ENSG00000197208/ENSG00000257335	8
GO:0097493	MF	GO:0097493	structural molecule activity conferring elasticity	3/116	11/20738	2.72325805637678e-05	0.00912291448886223	0.00857109640901746	ENSG00000132205/ENSG00000138829/ENSG00000155657	3
