ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030168	BP	GO:0030168	platelet activation	24/247	150/20973	1.71825063531556e-20	3.19286190738986e-17	2.68058335731068e-17	ENSG00000010278/ENSG00000035403/ENSG00000058866/ENSG00000074966/ENSG00000088053/ENSG00000102780/ENSG00000108405/ENSG00000110799/ENSG00000115956/ENSG00000127533/ENSG00000138722/ENSG00000154127/ENSG00000154229/ENSG00000158856/ENSG00000158869/ENSG00000161911/ENSG00000163737/ENSG00000169704/ENSG00000174175/ENSG00000181104/ENSG00000185245/ENSG00000185532/ENSG00000203618/ENSG00000259207	24
GO:0007596	BP	GO:0007596	blood coagulation	29/247	252/20973	2.03561485966838e-20	3.19286190738986e-17	2.68058335731068e-17	ENSG00000010278/ENSG00000035403/ENSG00000058866/ENSG00000074966/ENSG00000088053/ENSG00000102780/ENSG00000108405/ENSG00000110799/ENSG00000115956/ENSG00000127533/ENSG00000137801/ENSG00000138722/ENSG00000154127/ENSG00000154229/ENSG00000158856/ENSG00000158869/ENSG00000161911/ENSG00000163737/ENSG00000164171/ENSG00000169704/ENSG00000173083/ENSG00000174175/ENSG00000181104/ENSG00000184500/ENSG00000185245/ENSG00000185532/ENSG00000203618/ENSG00000204420/ENSG00000259207	29
GO:0050817	BP	GO:0050817	coagulation	29/247	257/20973	3.53780856693474e-20	3.44899317222123e-17	2.89561965568764e-17	ENSG00000010278/ENSG00000035403/ENSG00000058866/ENSG00000074966/ENSG00000088053/ENSG00000102780/ENSG00000108405/ENSG00000110799/ENSG00000115956/ENSG00000127533/ENSG00000137801/ENSG00000138722/ENSG00000154127/ENSG00000154229/ENSG00000158856/ENSG00000158869/ENSG00000161911/ENSG00000163737/ENSG00000164171/ENSG00000169704/ENSG00000173083/ENSG00000174175/ENSG00000181104/ENSG00000184500/ENSG00000185245/ENSG00000185532/ENSG00000203618/ENSG00000204420/ENSG00000259207	29
GO:0007599	BP	GO:0007599	hemostasis	29/247	259/20973	4.39782361775101e-20	3.44899317222123e-17	2.89561965568764e-17	ENSG00000010278/ENSG00000035403/ENSG00000058866/ENSG00000074966/ENSG00000088053/ENSG00000102780/ENSG00000108405/ENSG00000110799/ENSG00000115956/ENSG00000127533/ENSG00000137801/ENSG00000138722/ENSG00000154127/ENSG00000154229/ENSG00000158856/ENSG00000158869/ENSG00000161911/ENSG00000163737/ENSG00000164171/ENSG00000169704/ENSG00000173083/ENSG00000174175/ENSG00000181104/ENSG00000184500/ENSG00000185245/ENSG00000185532/ENSG00000203618/ENSG00000204420/ENSG00000259207	29
GO:0042060	BP	GO:0042060	wound healing	36/247	489/20973	1.32020222763432e-18	8.28294877617771e-16	6.95399152324434e-16	ENSG00000010278/ENSG00000035403/ENSG00000058866/ENSG00000065534/ENSG00000074966/ENSG00000088053/ENSG00000102362/ENSG00000102780/ENSG00000105329/ENSG00000108405/ENSG00000110799/ENSG00000112033/ENSG00000115956/ENSG00000124762/ENSG00000127533/ENSG00000137801/ENSG00000138722/ENSG00000140416/ENSG00000154127/ENSG00000154229/ENSG00000158856/ENSG00000158869/ENSG00000161911/ENSG00000163737/ENSG00000164171/ENSG00000169398/ENSG00000169704/ENSG00000173083/ENSG00000174175/ENSG00000181104/ENSG00000184500/ENSG00000185245/ENSG00000185532/ENSG00000203618/ENSG00000204420/ENSG00000259207	36
GO:0031589	BP	GO:0031589	cell-substrate adhesion	24/247	406/20973	1.01601855403861e-10	3.98406275502392e-08	3.3448400292166e-08	ENSG00000005844/ENSG00000035403/ENSG00000047648/ENSG00000072110/ENSG00000079691/ENSG00000082781/ENSG00000085733/ENSG00000087589/ENSG00000091409/ENSG00000110799/ENSG00000112033/ENSG00000116962/ENSG00000137801/ENSG00000138080/ENSG00000149177/ENSG00000157227/ENSG00000158856/ENSG00000162946/ENSG00000164171/ENSG00000164741/ENSG00000164877/ENSG00000169398/ENSG00000173083/ENSG00000259207	24
GO:0007229	BP	GO:0007229	integrin-mediated signaling pathway	13/247	119/20973	1.58048036053575e-09	4.95796689100064e-07	4.16248617058994e-07	ENSG00000005844/ENSG00000074966/ENSG00000082074/ENSG00000082781/ENSG00000091409/ENSG00000115318/ENSG00000115956/ENSG00000158856/ENSG00000164171/ENSG00000169398/ENSG00000204420/ENSG00000213658/ENSG00000259207	13
GO:0007044	BP	GO:0007044	cell-substrate junction assembly	12/247	99/20973	2.03729838232295e-09	5.81000456849736e-07	4.87781871059524e-07	ENSG00000035403/ENSG00000047648/ENSG00000072110/ENSG00000085733/ENSG00000091409/ENSG00000137801/ENSG00000149177/ENSG00000157227/ENSG00000158856/ENSG00000164171/ENSG00000164741/ENSG00000169398	12
GO:0007015	BP	GO:0007015	actin filament organization	24/247	484/20973	3.43648691125103e-09	8.98354953382872e-07	7.54218443153515e-07	ENSG00000047648/ENSG00000061676/ENSG00000070182/ENSG00000072110/ENSG00000079691/ENSG00000082781/ENSG00000085733/ENSG00000087589/ENSG00000107438/ENSG00000115956/ENSG00000132970/ENSG00000140416/ENSG00000146376/ENSG00000148180/ENSG00000148700/ENSG00000149564/ENSG00000152229/ENSG00000158856/ENSG00000163219/ENSG00000164741/ENSG00000164877/ENSG00000167100/ENSG00000170873/ENSG00000197321	24
GO:0150115	BP	GO:0150115	cell-substrate junction organization	12/247	105/20973	4.04162136789426e-09	9.75274325468024e-07	8.18796490888376e-07	ENSG00000035403/ENSG00000047648/ENSG00000072110/ENSG00000085733/ENSG00000091409/ENSG00000137801/ENSG00000149177/ENSG00000157227/ENSG00000158856/ENSG00000164171/ENSG00000164741/ENSG00000169398	12
