ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031589	BP	GO:0031589	cell-substrate adhesion	22/225	406/20973	5.49650067434831e-10	1.75228441498224e-06	1.47190502268864e-06	ENSG00000005844/ENSG00000035403/ENSG00000072110/ENSG00000073849/ENSG00000079691/ENSG00000085733/ENSG00000095637/ENSG00000111846/ENSG00000138080/ENSG00000141376/ENSG00000144668/ENSG00000153094/ENSG00000158856/ENSG00000160255/ENSG00000162946/ENSG00000164877/ENSG00000164946/ENSG00000168477/ENSG00000169398/ENSG00000171132/ENSG00000174059/ENSG00000184371	22
GO:0007015	BP	GO:0007015	actin filament organization	22/225	484/20973	1.38538707026915e-08	1.36619503226763e-05	1.14759300075575e-05	ENSG00000070182/ENSG00000072110/ENSG00000075340/ENSG00000079691/ENSG00000085733/ENSG00000095637/ENSG00000115956/ENSG00000133816/ENSG00000136842/ENSG00000140416/ENSG00000142347/ENSG00000148468/ENSG00000148700/ENSG00000158856/ENSG00000163219/ENSG00000163554/ENSG00000164877/ENSG00000165322/ENSG00000168421/ENSG00000170873/ENSG00000171132/ENSG00000176658	22
GO:0030042	BP	GO:0030042	actin filament depolymerization	9/225	61/20973	1.71417193509113e-08	1.36619503226763e-05	1.14759300075575e-05	ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000115956/ENSG00000133816/ENSG00000136842/ENSG00000148700/ENSG00000158856/ENSG00000163554	9
GO:0030834	BP	GO:0030834	regulation of actin filament depolymerization	8/225	56/20973	1.41319662423326e-07	9.01054167611127e-05	7.56878360431456e-05	ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000115956/ENSG00000136842/ENSG00000148700/ENSG00000158856/ENSG00000163554	8
GO:0010543	BP	GO:0010543	regulation of platelet activation	8/225	58/20973	1.87215323263345e-07	9.94737417605907e-05	8.35571548038509e-05	ENSG00000115956/ENSG00000130203/ENSG00000132205/ENSG00000138722/ENSG00000154127/ENSG00000158856/ENSG00000169704/ENSG00000203618	8
GO:0008360	BP	GO:0008360	regulation of cell shape	11/225	167/20973	1.97684888471136e-06	0.000630219424445983	0.000529379322390074	ENSG00000133026/ENSG00000136040/ENSG00000140416/ENSG00000148468/ENSG00000157404/ENSG00000158856/ENSG00000160255/ENSG00000163554/ENSG00000166947/ENSG00000168421/ENSG00000169398	11
GO:0015669	BP	GO:0015669	gas transport	5/225	21/20973	2.40437982203641e-06	0.000696832988422917	0.000585334188254607	ENSG00000104267/ENSG00000112077/ENSG00000188536/ENSG00000196565/ENSG00000206172	5
GO:0032535	BP	GO:0032535	regulation of cellular component size	16/225	376/20973	3.30507073628292e-06	0.000810505039020765	0.000680817809967915	ENSG00000047597/ENSG00000065320/ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000085733/ENSG00000115956/ENSG00000130203/ENSG00000136842/ENSG00000148700/ENSG00000155792/ENSG00000158856/ENSG00000162946/ENSG00000163554/ENSG00000171132/ENSG00000197993	16
GO:0032272	BP	GO:0032272	negative regulation of protein polymerization	8/225	86/20973	4.00597223540839e-06	0.00085140263243213	0.000715171464342382	ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000136842/ENSG00000145335/ENSG00000148700/ENSG00000158856/ENSG00000163554	8
GO:1901879	BP	GO:1901879	regulation of protein depolymerization	8/225	91/20973	6.12843641118274e-06	0.00109158858012072	0.000916925757058411	ENSG00000070182/ENSG00000075340/ENSG00000079691/ENSG00000115956/ENSG00000136842/ENSG00000148700/ENSG00000158856/ENSG00000163554	8
