ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048821	BP	GO:0048821	erythrocyte development	4/36	38/20973	5.17553623527394e-07	0.000435780151010066	0.000347578117695239	ENSG00000004939/ENSG00000112077/ENSG00000158578/ENSG00000166947	4
GO:0020027	BP	GO:0020027	hemoglobin metabolic process	3/36	17/20973	3.10642150475703e-06	0.00130780345350271	0.00104310364212368	ENSG00000147454/ENSG00000158578/ENSG00000166947	3
GO:0015669	BP	GO:0015669	gas transport	3/36	21/20973	6.04717984360436e-06	0.00169724180943829	0.00135371955797178	ENSG00000112077/ENSG00000206172/ENSG00000206177	3
GO:0055072	BP	GO:0055072	iron ion homeostasis	4/36	86/20973	1.40419043704312e-05	0.00259031532546748	0.00206603472640112	ENSG00000112077/ENSG00000147454/ENSG00000158578/ENSG00000166947	4
GO:0034101	BP	GO:0034101	erythrocyte homeostasis	4/36	165/20973	0.000178785804448268	0.0188172059181802	0.015008597794473	ENSG00000004939/ENSG00000112077/ENSG00000158578/ENSG00000166947	4
GO:0009898	CC	GO:0009898	cytoplasmic side of plasma membrane	6/36	181/21993	4.53720723195182e-07	5.21778831674459e-05	3.67752586168727e-05	ENSG00000004939/ENSG00000029534/ENSG00000039068/ENSG00000070182/ENSG00000169398/ENSG00000170873	6
GO:0030863	CC	GO:0030863	cortical cytoskeleton	4/36	119/21993	4.19820761247535e-05	0.00151023693956328	0.00106442328921165	ENSG00000004939/ENSG00000039068/ENSG00000070182/ENSG00000166947	4
GO:0016323	CC	GO:0016323	basolateral plasma membrane	5/36	251/21993	5.25299805065488e-05	0.00151023693956328	0.00106442328921165	ENSG00000004939/ENSG00000029534/ENSG00000119888/ENSG00000148842/ENSG00000154639	5
GO:0045178	CC	GO:0045178	basal part of cell	5/36	294/21993	0.000110753869949262	0.00212278250736085	0.00149614876949002	ENSG00000004939/ENSG00000029534/ENSG00000119888/ENSG00000148842/ENSG00000154639	5
GO:0031838	CC	GO:0031838	haptoglobin-hemoglobin complex	2/36	11/21993	0.000141956324377691	0.00219587664324828	0.00154766591789581	ENSG00000206172/ENSG00000206177	2
GO:0005833	CC	GO:0005833	hemoglobin complex	2/36	12/21993	0.000170172158012835	0.00219587664324828	0.00154766591789581	ENSG00000206172/ENSG00000206177	2
GO:0005938	CC	GO:0005938	cell cortex	5/36	323/21993	0.000171851215558561	0.00219587664324828	0.00154766591789581	ENSG00000004939/ENSG00000039068/ENSG00000070182/ENSG00000166947/ENSG00000169398	5
GO:0030017	CC	GO:0030017	sarcomere	4/36	222/21993	0.000461956478745075	0.00482954500506214	0.00340388984338476	ENSG00000004939/ENSG00000029534/ENSG00000115641/ENSG00000198838	4
GO:0043296	CC	GO:0043296	apical junction complex	3/36	157/21993	0.00214374941872826	0.0154081989471094	0.0108597832396103	ENSG00000039068/ENSG00000119888/ENSG00000154639	3
GO:0016328	CC	GO:0016328	lateral plasma membrane	2/36	68/21993	0.00554508035170813	0.0375108376733197	0.0264378444013329	ENSG00000039068/ENSG00000119888	2
GO:0016529	CC	GO:0016529	sarcoplasmic reticulum	2/36	72/21993	0.00619633885168571	0.0395877204413254	0.0279016427824444	ENSG00000029534/ENSG00000198838	2
GO:0016528	CC	GO:0016528	sarcoplasm	2/36	79/21993	0.00741571490718366	0.0448845902276905	0.031634905698235	ENSG00000029534/ENSG00000198838	2
GO:0030506	MF	GO:0030506	ankyrin binding	4/36	21/20738	4.48089983618783e-08	6.76615875264362e-06	4.19789563600755e-06	ENSG00000004939/ENSG00000039068/ENSG00000070182/ENSG00000112077	4
GO:0005200	MF	GO:0005200	structural constituent of cytoskeleton	4/36	118/20738	5.09693806932061e-05	0.00384818824233706	0.00238751309562913	ENSG00000029534/ENSG00000070182/ENSG00000075340/ENSG00000166947	4
GO:0031720	MF	GO:0031720	haptoglobin binding	2/36	10/20738	0.000130698824532791	0.00657850750148381	0.00408147206435733	ENSG00000206172/ENSG00000206177	2
GO:0005344	MF	GO:0005344	oxygen carrier activity	2/36	14/20738	0.000263149422749853	0.00993389070880695	0.00616323648019393	ENSG00000206172/ENSG00000206177	2
GO:0030507	MF	GO:0030507	spectrin binding	2/36	27/20738	0.0010007014242124	0.0302211830112145	0.0187499845799797	ENSG00000029534/ENSG00000075340	2
